Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Quizioner/Q10""), ""Mantap"")",Chrome 110.0.0.0,,,2023-02-11 13:12:34,2023-02-11 13:12:35,0.939s,PASSED
"click(findTestObject(""Quizioner/Submit button""))",Chrome 110.0.0.0,,,2023-02-11 13:12:35,2023-02-11 13:12:38,2.284s,PASSED
,,,,,,,
Test Cases/Archive/TC12_View archive,Chrome 110.0.0.0,,,2023-02-11 13:12:38,2023-02-11 13:12:49,11.085s,PASSED
"click(findTestObject(""Archive/Archive""))",Chrome 110.0.0.0,,,2023-02-11 13:12:39,2023-02-11 13:12:43,4.062s,PASSED
"verifyElementText(findTestObject(""Archive/Project Archive""), ""Project Archive"")",Chrome 110.0.0.0,,,2023-02-11 13:12:43,2023-02-11 13:12:44,0.887s,PASSED
"setText(findTestObject(""Archive/Search""), ""TECHNOFEST 1.0"")",Chrome 110.0.0.0,,,2023-02-11 13:12:44,2023-02-11 13:12:45,1.409s,PASSED
"click(findTestObject(""Archive/Search button""))",Chrome 110.0.0.0,,,2023-02-11 13:12:45,2023-02-11 13:12:46,1.051s,PASSED
"click(findTestObject(""Archive/See More button""))",Chrome 110.0.0.0,,,2023-02-11 13:12:46,2023-02-11 13:12:48,1.528s,PASSED
closeBrowser(),Chrome 110.0.0.0,,,2023-02-11 13:12:48,2023-02-11 13:12:49,1.064s,PASSED
