Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Setting/Semester/Edit semester/Search""), ""edit baru"")",Chrome 110.0.0.0,,,2023-02-10 12:14:02,2023-02-10 12:14:03,1.100s,PASSED
"click(findTestObject(""Setting/Semester/Edit semester/Edit button""))",Chrome 110.0.0.0,,,2023-02-10 12:14:03,2023-02-10 12:14:04,1.562s,PASSED
"clearText(findTestObject(""Setting/Semester/Edit semester/Edit semester""))",Chrome 110.0.0.0,,,2023-02-10 12:14:04,2023-02-10 12:14:05,0.566s,PASSED
"clearText(findTestObject(""Setting/Semester/Edit semester/Edit title""))",Chrome 110.0.0.0,,,2023-02-10 12:14:05,2023-02-10 12:14:06,0.571s,PASSED
"clearText(findTestObject(""Setting/Semester/Edit semester/Edit position""))",Chrome 110.0.0.0,,,2023-02-10 12:14:06,2023-02-10 12:14:06,0.525s,PASSED
"click(findTestObject(""Setting/Semester/Edit semester/Submit button""))",Chrome 110.0.0.0,,,2023-02-10 12:14:06,2023-02-10 12:14:07,0.601s,PASSED
back(),Chrome 110.0.0.0,,,2023-02-10 12:14:07,2023-02-10 12:14:07,0.133s,PASSED
,,,,,,,
Test Cases/Setting/TC14_Delete semester,Chrome 110.0.0.0,,,2023-02-10 12:14:07,2023-02-10 12:14:13,6.383s,PASSED
"click(findTestObject(""Setting/Semester/Add semester/Semester 2""))",Chrome 110.0.0.0,,,2023-02-10 12:14:08,2023-02-10 12:14:09,1.081s,PASSED
"setText(findTestObject(""Setting/Semester/Delete semester/Search""), ""delete"")",Chrome 110.0.0.0,,,2023-02-10 12:14:09,2023-02-10 12:14:10,1.091s,PASSED
"click(findTestObject(""z test/Delete3/Delete button semester""))",Chrome 110.0.0.0,,,2023-02-10 12:14:10,2023-02-10 12:14:12,1.092s,PASSED
"click(findTestObject(""Setting/Semester/Delete semester/Yes button""))",Chrome 110.0.0.0,,,2023-02-10 12:14:12,2023-02-10 12:14:13,1.701s,PASSED
,,,,,,,
Test Cases/Setting/TC15_Add category,Chrome 110.0.0.0,,,2023-02-10 12:14:13,2023-02-10 12:14:23,9.282s,PASSED
"click(findTestObject(""Setting/Category/Add category/Category""))",Chrome 110.0.0.0,,,2023-02-10 12:14:15,2023-02-10 12:14:18,3.674s,PASSED
"click(findTestObject(""Setting/Category/Add category/Add Data""))",Chrome 110.0.0.0,,,2023-02-10 12:14:18,2023-02-10 12:14:19,1.165s,PASSED
"verifyElementText(findTestObject(""Setting/Category/Add category/Create Category""), ""Create Category"")",Chrome 110.0.0.0,,,2023-02-10 12:14:19,2023-02-10 12:14:20,0.509s,PASSED
"setText(findTestObject(""Setting/Category/Add category/Category title""), ""Test category add"")",Chrome 110.0.0.0,,,2023-02-10 12:14:20,2023-02-10 12:14:21,0.947s,PASSED
"click(findTestObject(""Setting/Category/Add category/Submit button""))",Chrome 110.0.0.0,,,2023-02-10 12:14:21,2023-02-10 12:14:23,1.681s,PASSED
,,,,,,,
Test Cases/Setting/TC16_Add category tanpa mengisi form,Chrome 110.0.0.0,,,2023-02-10 12:14:23,2023-02-10 12:14:30,7.299s,PASSED
"click(findTestObject(""Setting/Category/Add category/Category""))",Chrome 110.0.0.0,,,2023-02-10 12:14:24,2023-02-10 12:14:27,3.655s,PASSED
"click(findTestObject(""Setting/Category/Add category/Add Data""))",Chrome 110.0.0.0,,,2023-02-10 12:14:27,2023-02-10 12:14:29,1.167s,PASSED
"verifyElementText(findTestObject(""Setting/Category/Add category/Create Category""), ""Create Category"")",Chrome 110.0.0.0,,,2023-02-10 12:14:29,2023-02-10 12:14:29,0.507s,PASSED
"click(findTestObject(""Setting/Category/Add category/Submit button""))",Chrome 110.0.0.0,,,2023-02-10 12:14:29,2023-02-10 12:14:30,0.573s,PASSED
back(),Chrome 110.0.0.0,,,2023-02-10 12:14:30,2023-02-10 12:14:30,0.144s,PASSED
,,,,,,,
Test Cases/Setting/TC17_View category,Chrome 110.0.0.0,,,2023-02-10 12:14:30,2023-02-10 12:14:32,2.486s,PASSED
"setText(findTestObject(""Setting/Category/View category/Search""), ""Game Application"")",Chrome 110.0.0.0,,,2023-02-10 12:14:31,2023-02-10 12:14:32,0.958s,PASSED
"verifyElementText(findTestObject(""Setting/Category/View category/Game Application""), ""Game Application"")",Chrome 110.0.0.0,,,2023-02-10 12:14:32,2023-02-10 12:14:32,0.306s,PASSED
,,,,,,,
Test Cases/Setting/TC18_Edit category,Chrome 110.0.0.0,,,2023-02-10 12:14:32,2023-02-10 12:15:06,33.234s,FAILED
"click(findTestObject(""Setting/Category/Edit category/Name""))",Chrome 110.0.0.0,,,2023-02-10 12:14:34,2023-02-10 12:14:34,0.592s,PASSED
"click(findTestObject(""Setting/Category/Edit category/Edit button""))",Chrome 110.0.0.0,,,2023-02-10 12:14:34,2023-02-10 12:15:06,31.347s,FAILED
,,,,,,,
Test Cases/Setting/TC19_Edit category tanpa mengisi form,Chrome 110.0.0.0,,,2023-02-10 12:15:06,2023-02-10 12:15:39,33.177s,FAILED
"click(findTestObject(""z test/test 3/a_Next""))",Chrome 110.0.0.0,,,2023-02-10 12:15:07,2023-02-10 12:15:07,0.561s,PASSED
"click(findTestObject(""Setting/Category/Edit category/Edit button""))",Chrome 110.0.0.0,,,2023-02-10 12:15:07,2023-02-10 12:15:39,31.415s,FAILED
,,,,,,,
Test Cases/Setting/TC20_Delete category,Chrome 110.0.0.0,,,2023-02-10 12:15:39,2023-02-10 12:16:14,34.857s,FAILED
"click(findTestObject(""Setting/Category/Delete category/Category""))",Chrome 110.0.0.0,,,2023-02-10 12:15:40,2023-02-10 12:15:41,1.187s,PASSED
